MC	american	call	0.05984972741239423	12.11	238.0	8	11.385219801035905	247.85	0.020213956210441326	0.0006800999399274588
QMC	american	call	0.01781127220127766	12.11	238.0	8	11.894305493642527	247.85	0.020213956210441326	0.001591100008226931
GAN-MC	american	call	0.04057557380740233	12.11	238.0	8	12.601370198807642	247.85	0.020213956210441326	0.0011824999237433076
GAN-LHS	american	call	0.05340103991739239	12.11	238.0	8	11.463313406600378	247.85	0.020213956210441326	0.0008871000027284026
MC	european	call	0.016936040837265118	11.06	238.01	8	11.247312611660153	247.85	0.014685087369287152	0.00012250000145286322
QMC	european	call	0.040874752493837326	11.06	238.01	8	10.60792523741816	247.85	0.014685087369287152	0.0010212999768555164
GAN-MC	european	call	0.057717955044070415	11.06	238.01	8	10.421639417212582	247.85	0.014685087369287152	0.00026679993607103825
GAN-LHS	european	call	0.024794493073787418	11.06	238.01	8	10.785772906603912	247.85	0.014685087369287152	0.0003567000385373831
MC	american	call	0.004226733769139829	10.3	240.0	8	10.343535357822141	247.85	0.018732683625778984	0.00011999998241662979
QMC	american	call	0.029604818482017854	10.3	240.0	8	9.995070369635217	247.85	0.018732683625778984	0.000940999947488308
GAN-MC	american	call	0.027470133591636404	10.3	240.0	8	10.582942375993856	247.85	0.018732683625778984	0.00027000007685273886
GAN-LHS	american	call	0.03930380867517651	10.3	240.0	8	9.895170770645683	247.85	0.018732683625778984	0.0004104999825358391
MC	american	call	0.06471534981370151	8.5	242.0	8	9.050080473416463	247.85	0.017104216602789865	0.0001338000874966383
QMC	american	call	0.018327584212198562	8.5	242.0	8	8.344215534196312	247.85	0.017104216602789865	0.0010098000057041645
GAN-MC	american	call	0.08859125527196528	8.5	242.0	8	7.746974330188295	247.85	0.017104216602789865	0.00028000003658235073
GAN-LHS	american	call	0.06879789358566381	8.5	242.0	8	7.915217904521858	247.85	0.017104216602789865	0.0003611999563872814
MC	american	call	0.02747838790502593	3.35	248.0	8	3.442052599481837	247.85	0.011489771000778217	0.00012720003724098206
QMC	american	call	0.048457533471375956	3.35	248.0	8	3.1876672628708906	247.85	0.011489771000778217	0.001181800034828484
GAN-MC	american	call	0.06284592687860271	3.35	248.0	8	3.139466144956681	247.85	0.011489771000778217	0.00039379997178912163
GAN-LHS	american	call	0.0848147602700076	3.35	248.0	8	3.0658705530954746	247.85	0.011489771000778217	0.0004795000422745943
MC	american	call	0.15117436687541197	2.0	250.0	8	1.697651266249176	247.85	0.009895251807443385	0.0001308000646531582
QMC	american	call	0.13062781108472366	2.0	250.0	8	1.7387443778305527	247.85	0.009895251807443385	0.0010364999761804938
GAN-MC	american	call	0.1734142902834569	2.0	250.0	8	1.6531714194330862	247.85	0.009895251807443385	0.0002858999650925398
GAN-LHS	american	call	0.16883319667802799	2.0	250.0	8	1.662333606643944	247.85	0.009895251807443385	0.00038680003490298986
MC	european	call	0.1340540504293027	1.2	250.01	8	1.3608648605151632	247.85	0.006930351761448615	0.00013400008901953697
QMC	european	call	0.21437037988064928	1.2	250.01	8	0.9427555441432208	247.85	0.006930351761448615	0.0013787000207230449
GAN-MC	european	call	0.05805505602025215	1.2	250.01	8	1.2696660672243025	247.85	0.006930351761448615	0.0003515999997034669
GAN-LHS	european	call	0.09371530626938093	1.2	250.01	8	1.0875416324767428	247.85	0.006930351761448615	0.000557800056412816
MC	american	call	0.18004791970320314	1.4	252.0	8	1.1479329124155155	247.85	0.010244732340132394	0.0001292999368160963
QMC	american	call	0.052044627840038826	1.4	252.0	8	1.3271375210239456	247.85	0.010244732340132394	0.001028000027872622
GAN-MC	american	call	0.10832083322713286	1.4	252.0	8	1.551649166517986	247.85	0.010244732340132394	0.0002775000175461173
GAN-LHS	american	call	0.38308388887313766	1.4	252.0	8	0.8636825555776072	247.85	0.010244732340132394	0.00035989994648844004
MC	american	call	0.5135784963194087	0.8	254.0	8	0.38913720294447307	247.85	0.00978593769571589	0.00014480005484074354
QMC	american	call	0.10944904232267058	0.8	254.0	8	0.7124407661418636	247.85	0.00978593769571589	0.0010103000095114112
GAN-MC	american	call	0.3866504369865212	0.8	254.0	8	0.4906796504107831	247.85	0.00978593769571589	0.00028389994986355305
GAN-LHS	american	call	0.26781072811769	0.8	254.0	8	0.585751417505848	247.85	0.00978593769571589	0.00037510006222873926
MC	american	put	0.3880777248577432	0.7	238.0	8	0.4283455925995797	247.85	0.013980884831052327	0.00016579998191446066
QMC	american	put	0.17771322431833486	0.7	238.0	8	0.5756007429771656	247.85	0.013980884831052327	0.0012571000261232257
GAN-MC	american	put	0.006710053657871251	0.7	238.0	8	0.6953029624394901	247.85	0.013980884831052327	0.0007776001002639532
GAN-LHS	american	put	0.3304408471175355	0.7	238.0	8	0.4686914070177251	247.85	0.013980884831052327	0.00040739995893090963
MC	american	put	0.21486122521063541	0.95	242.0	8	0.7458818360498963	247.85	0.011355740785567657	0.00013320008292794228
QMC	american	put	0.005105380830558185	0.95	242.0	8	0.9451498882109697	247.85	0.011355740785567657	0.001039499999023974
GAN-MC	american	put	0.06285583059216279	0.95	242.0	8	1.0097130390625546	247.85	0.011355740785567657	0.0002899999963119626
GAN-LHS	american	put	0.0003592911606318133	0.95	242.0	8	0.9496586733973997	247.85	0.011355740785567657	0.0003648999845609069
MC	american	put	0.18742464593409047	1.35	244.0	8	1.096976727988978	247.85	0.010875264192291869	0.0001550000160932541
QMC	american	put	0.014206339937030275	1.35	244.0	8	1.3308214410850092	247.85	0.010875264192291869	0.00133050000295043
