MC	european	put	0.19283422719638385	0.36	41.51	21	0.2905796782093018	43.73	0.015413148792901895	0.001067599980160594
QMC	european	put	0.22675734661928015	0.36	41.51	21	0.27836735521705913	43.73	0.015413148792901895	0.0028545999666675925
GAN	european	put	0.11912904620241527	0.36	41.51	21	0.3171135433671305	43.73	0.015413148792901895	0.0014954000944271684
GAN-LHS	european	put	0.15907599279286186	0.36	41.51	21	0.41726735740543025	43.73	0.015413148792901895	0.004790900042280555
MC	european	put	0.3366436041308175	0.32	42.01	21	0.2122740466781384	43.73	0.012750233696643873	0.0002614000113680959
QMC	european	put	0.02409645766285294	0.32	42.01	21	0.31228913354788707	43.73	0.012750233696643873	0.001806700020097196
GAN	european	put	0.4280603674018941	0.32	42.01	21	0.18302068243139388	43.73	0.012750233696643873	0.0006972000701352954
GAN-LHS	european	put	0.09919942395295242	0.32	42.01	21	0.28825618433505523	43.73	0.012750233696643873	0.0037973999278619885
MC	european	put	0.024925070303748985	0.47	42.51	21	0.45828521695723795	43.73	0.013028346124348611	0.0005171999800950289
QMC	european	put	0.0035303759783773254	0.47	42.51	21	0.46834072329016263	43.73	0.013028346124348611	0.0017940000398084521
GAN	european	put	0.030302515618349693	0.47	42.51	21	0.4557578176593756	43.73	0.013028346124348611	0.0007115000626072288
GAN-LHS	european	put	0.10616012211591969	0.47	42.51	21	0.4201047426055177	43.73	0.013028346124348611	0.0044169999891892076
MC	american	put	0.048568950025758686	0.62	43.0	21	0.6501127490159704	43.73	0.012837503099610972	0.0002821000525727868
QMC	american	put	0.07562567294764111	0.62	43.0	21	0.5731120827724625	43.73	0.012837503099610972	0.001787800109013915
GAN	american	put	0.056795355288568446	0.62	43.0	21	0.6552131202789124	43.73	0.012837503099610972	0.0008941000560298562
GAN-LHS	american	put	0.006817989215838456	0.62	43.0	21	0.6157728466861802	43.73	0.012837503099610972	0.004098600009456277
MC	european	put	0.11307400300965639	0.9	43.01	21	0.7982333972913093	43.73	0.016512456570328213	0.00027799990493804216
QMC	european	put	0.03421542337622498	0.9	43.01	21	0.9307938810386025	43.73	0.016512456570328213	0.0021738000214099884
GAN	european	put	0.00977893541233738	0.9	43.01	21	0.8911989581288964	43.73	0.016512456570328213	0.0007437999593093991
GAN-LHS	european	put	0.09925334242151423	0.9	43.01	21	0.8106719918206372	43.73	0.016512456570328213	0.003780700033530593
MC	american	put	0.01151174369919619	1.3	44.0	21	1.314965266808955	43.73	0.01579225855138693	0.00027570000384002924
QMC	american	put	0.062089627689846126	1.3	44.0	21	1.2192834840032	43.73	0.01579225855138693	0.0017371000722050667
GAN	american	put	0.09744816339031202	1.3	44.0	21	1.1733173875925944	43.73	0.01579225855138693	0.0006882000016048551
GAN-LHS	american	put	0.12851762713769693	1.3	44.0	21	1.132927084720994	43.73	0.01579225855138693	0.0033386999275535345
MC	american	put	0.011653301868074105	3.6	47.5	21	3.5580481132749333	43.73	0.010272764891760534	0.0002736999886110425
QMC	american	put	0.01179010641196274	3.6	47.5	21	3.5575556169169342	43.73	0.010272764891760534	0.0017937000375241041
GAN	american	put	0.015535056994135068	3.6	47.5	21	3.544073794821114	43.73	0.010272764891760534	0.0007833000272512436
GAN-LHS	american	put	0.018488108227178907	3.6	47.5	21	3.666557189617844	43.73	0.010272764891760534	0.00393070001155138
MC	american	put	0.02650770180860418	5.64	49.5	21	5.490496561799472	43.73	0.016758945019990246	0.0002712000859901309
QMC	american	put	0.00822742422020921	5.64	49.5	21	5.59359732739802	43.73	0.016758945019990246	0.0018123999470844865
GAN	american	put	0.04268030128407151	5.64	49.5	21	5.399283100757836	43.73	0.016758945019990246	0.0007156999781727791
GAN-LHS	american	put	0.005402307818325574	5.64	49.5	21	5.670469016095356	43.73	0.016758945019990246	0.003439099993556738
MC	american	put	0.013497452054825908	6.13	50.0	21	6.047260618903917	43.73	0.017513399988188568	0.0003504999913275242
QMC	american	put	0.004434212721647092	6.13	50.0	21	6.102818276016303	43.73	0.017513399988188568	0.0019580998923629522
GAN	american	put	0.007880569278746767	6.13	50.0	21	6.178307889678718	43.73	0.017513399988188568	0.0007288000779226422
GAN-LHS	american	put	0.0005443700105733882	6.13	50.0	21	6.133336988164815	43.73	0.017513399988188568	0.004265800002031028
MC	american	put	0.09232332064495606	6.46	50.01	21	5.863591348633584	43.73	0.02630518107697981	0.00027199997566640377
QMC	american	put	0.01342885071060542	6.46	50.01	21	6.546750375590511	43.73	0.02630518107697981	0.001724999980069697
GAN	american	put	0.05085877935283338	6.46	50.01	21	6.131452285380696	43.73	0.02630518107697981	0.0006834999658167362
GAN-LHS	american	put	0.004717358964161566	6.46	50.01	21	6.490474138908484	43.73	0.02630518107697981	0.0035089999437332153
MC	american	call	0.026379221468007467	1.35	43.5	21	1.3856119489818102	43.73	0.01413965849601106	0.000296599930152297
QMC	american	call	0.01592880684928906	1.35	43.5	21	1.3284961107534599	43.73	0.01413965849601106	0.001803399994969368
GAN	american	call	0.24509543362938	1.35	43.5	21	1.019121164600337	43.73	0.01413965849601106	0.000758900074288249
GAN-LHS	american	call	0.0023694380824323957	1.35	43.5	21	1.3468012585887164	43.73	0.01413965849601106	0.003675399930216372
MC	american	call	0.13537484426238197	0.86	44.5	21	0.7435776339343515	43.73	0.013948986408276357	0.0003298000665381551
QMC	american	call	0.10508072179551808	0.86	44.5	21	0.7696305792558544	43.73	0.013948986408276357	0.0018134999554604292
GAN	american	call	0.07622627247839338	0.86	44.5	21	0.9255545943314183	43.73	0.013948986408276357	0.0007285999599844217
